/mnt/media/2 B 3/The Toronto Sessions/01 Hip Hug-Her.mp3	Hip Hug-Her 	1 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	운암정의 아침 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/10 Yeni Yol (New way, Mevlani pesrev, mevljana).flac	Yeni Yol (New way, Mevlani pesrev, mevljana) 	10 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	Aj zajdi zajdi jasno sonce 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/11 Taxi Driver (I Don't Care).flac	Taxi Driver (I Don't Care) 	11 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	None 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/12 Benga Taxi.flac	Benga Taxi 	12 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	None 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/13 Aj Zajdi Jasno Sonce.flac	Aj Zajdi Jasno Sonce 	13 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	None 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/3 Mustaphas/Heart of Uncle [1989] [FLAC]/14 Anapse To Tsigaro.flac	Anapse To Tsigaro 	14 	3 Mustaphas 3 	Heart of Uncle 	1989 	 	World Music 	 	None 	 	3 Mustaphas 3 	Heart of Uncle 	1989 	Ace Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 01 - How Will You Meet Your End.flac	How Will You Meet Your End 	01 	A.A. Bondy 	American Hearts 	2007 	 	 	 	How Will You Meet Your End 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 02 - There's A Reason.flac	There's A Reason 	02 	A.A. Bondy 	American Hearts 	2007 	 	 	 	There's a Reason 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 03 - Black Rain, Black Rain.flac	Black Rain, Black Rain 	03 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Black Rain, Black Rain 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 04 - Rapture (Sweet Rapture).flac	Rapture (Sweet Rapture) 	04 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Rapture (Sweet Rapture) 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 05 - American Hearts.flac	American Hearts 	05 	A.A. Bondy 	American Hearts 	2007 	 	 	 	American Hearts 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 06 - No Man Shall.flac	No Man Shall 	06 	A.A. Bondy 	American Hearts 	2007 	 	 	 	No Man Shall 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 07 - World Without End.flac	World Without End 	07 	A.A. Bondy 	American Hearts 	2007 	 	 	 	World Without End 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 08 - Lover's Waltz.flac	Lover's Waltz 	08 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Lovers' Waltz 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 09 - Vice Rag.flac	Vice Rag 	09 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Vice Rag 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 10 - Killed Myself When I Was Young.flac	Killed Myself When I Was Young 	10 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Killed Myself When I Was Young 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 11 - Witness Blues.flac	Witness Blues 	11 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Witness Blues 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/American Hearts [2007] [FLAC]/A.A. Bondy - American Hearts - 12 - Of The Sea.flac	Of The Sea 	12 	A.A. Bondy 	American Hearts 	2007 	 	 	 	Of the Sea 	 	A.A. Bondy 	American Hearts 	2007-08-21 	Superphonic Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/01 - The Heart is Willing.flac	The Heart is Willing 	01 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	The Heart Is Willing 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
